USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root     315522 53.9  2.1 1021094580 27976940 ? SNl  10:38  10:27 ray::WorkerDict
root     315520 54.0  2.1 1020769612 27946800 ? SNl  10:38  10:29 ray::WorkerDict
root     315521 54.3  2.1 1020768636 27915936 ? SNl  10:38  10:32 ray::WorkerDict
root     315519 53.8  2.1 1017759720 27914060 ? SNl  10:38  10:26 ray::WorkerDict
root     317147 48.9  0.2 493177616 2792504 ?   RNl  10:39   8:55 VLLM::Worker_TP1
root     317159 47.7  0.2 493365020 2781160 ?   RNl  10:39   8:42 VLLM::Worker_TP1
root     317146 89.1  0.2 493258100 2727224 ?   RNl  10:39  16:15 VLLM::Worker_TP0
root     317158 86.8  0.2 493454144 2724536 ?   RNl  10:39  15:50 VLLM::Worker_TP0
root     316779  6.3  0.1 230240884 1800868 ?   SNl  10:39   1:10 ray::vLLMHttpServer
root     316776  6.2  0.1 230219360 1787404 ?   SNl  10:39   1:09 ray::vLLMHttpServer
root     314317  1.9  0.0 201890248 1290112 ?   SNl  10:37   0:23 ray::TaskRunnerV1.run
root     318071  1.8  0.0 206594692 1266992 ?   SNl  10:39   0:19 ray::AgentLoopWorkerTQ
root     318096  1.7  0.0 206529252 1266920 ?   SNl  10:39   0:18 ray::AgentLoopWorkerTQ
root     318102  1.7  0.0 206529272 1266820 ?   SNl  10:39   0:18 ray::AgentLoopWorkerTQ
root     318076  1.7  0.0 206595704 1266656 ?   SNl  10:39   0:18 ray::AgentLoopWorkerTQ
root     318101  1.8  0.0 206529208 1266200 ?   SNl  10:39   0:19 ray::AgentLoopWorkerTQ
root     318086  1.8  0.0 206817068 1265992 ?   SNl  10:39   0:19 ray::AgentLoopWorkerTQ
root     318099  1.8  0.0 206511864 1264468 ?   SNl  10:39   0:19 ray::AgentLoopWorkerTQ
root     318100  1.7  0.0 206528272 1263944 ?   SNl  10:39   0:18 ray::AgentLoopWorkerTQ
root     317065 42.9  0.0 23424568 1251788 ?    RNl  10:39   7:52 VLLM::EngineCore
root     317074 41.7  0.0 23423712 1250176 ?    RNl  10:39   7:38 VLLM::EngineCore
root     317857  1.3  0.0 197945404 1045968 ?   SNl  10:39   0:14 ray::GlobalRequestLoadBalancer
root     316302  0.9  0.0 197295840 921424 ?    SNl  10:39   0:10 ray::RewardLoopWorker
root     316457  0.9  0.0 197221972 918932 ?    SNl  10:39   0:10 ray::RewardLoopWorker
root     316301  0.9  0.0 197220968 918708 ?    SNl  10:39   0:11 ray::RewardLoopWorker
root     316303  0.9  0.0 197296676 918388 ?    SNl  10:39   0:11 ray::RewardLoopWorker
root     316297  0.9  0.0 197295616 918332 ?    SNl  10:39   0:10 ray::RewardLoopWorker
root     316305  0.9  0.0 197221852 917912 ?    SNl  10:39   0:10 ray::RewardLoopWorker
root     316304  0.9  0.0 197221984 917872 ?    SNl  10:39   0:10 ray::RewardLoopWorker
root     316535  0.9  0.0 197223016 917628 ?    SNl  10:39   0:10 ray::RewardLoopWorker
