global_step,wall_iso,restart_epoch,validation_accuracy,dual_clip_fraction,response_width_hit_fraction,cap_hit_rate,t_testing,policy_loss,learning_rate,grad_norm,entropy,kl,clip_fraction,clip_fraction_low,clip_fraction_high,reward_mean,reward_std,reward_max,reward_min,advantage_mean,advantage_std,advantage_min,advantage_max,n_prompts,rollout_n,n_groups,all_correct_groups,all_wrong_groups,mixed_groups,zero_std_groups,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,zero_std_group_ratio,effective_signal_groups,effective_signal_fraction,group_reward_std_mean,verifier_correct,verifier_incorrect,verifier_parse_failure,verifier_exception,verifier_truncated,response_length_mean,response_length_median,response_length_p95,response_length_max,truncation_rate,eos_rate,total_num_tokens,tokens_per_second,t_rollout,t_old_logprob,t_ref_logprob,t_adv,t_reward,t_actor_update,t_weight_sync,t_checkpoint,t_step,pct_rollout,pct_reward,pct_logprob,pct_actor_update,pct_weight_sync,pct_other,rollout_policy_step,consumer_update_step,policy_staleness_steps,policy_staleness_max,trajectory_span_mean,rollout_train_prob_corr,rollout_train_prob_diff_mean,rollout_train_prob_diff_max,rollout_train_kl,actor_peak_mem_gb,actor_reserved_mem_gb,mfu_actor,kl_loss,value_mean,value_max,value_min,returns_mean,returns_max,returns_min,explained_variance,value_loss,value_clip_fraction,t_critic_update,peak_vram_gpu0,peak_vram_gpu1,peak_vram_gpu2,peak_vram_gpu3
1,2026-09-11T19:47:54,0,,0.0,0.0078125,,,0.07054602750577033,1e-06,0.1632993444800377,0.3271779417991638,-1.51819940583664e-05,0.00012566239047373529,,,-0.34375,0.939061200082295,1.0,-1.0,-0.07578977942466736,,-1.5,1.75,16,8.0,16,1,6,9,7,0.0625,0.375,0.5625,0.4375,9,0.5625,0.4998985049142412,,,,,,1767.9453125,,,7971.0,,,247353.0,474.03160565742695,46.36913850158453,10.021896939724684,26.300991129130125,0.13720140233635902,,34.345944970846176,4.201826088130474,,130.45174469798803,35.55,,27.84,26.33,3.22,7.06,1.0,1,0.0,0.0,1.0,0.9995834827423096,0.002691366011276841,0.20436155796051025,0.0003064230550080538,50.98366355895996,63.521484375,0.6242204039049709,0.0001907212226797128,,,,-0.07578977942466736,1.75,-1.5,,,,,86.753,92.048,92.107,92.107
2,2026-09-11T19:47:54,0,,0.0,0.0078125,,,-0.017752274841768667,1e-06,0.1514272838830948,0.33847203850746155,-4.831214255318628e-07,7.768667046548217e-05,,,-0.28125,0.9596345332990055,1.0,-1.0,0.016500279307365417,,-1.75,1.75,16,8.0,16,2,6,8,8,0.125,0.375,0.5,0.5,8,0.5,0.44136777534525945,,,,,,2044.828125,,,7109.0,,,281266.0,661.3208247664443,44.35742050409317,10.219658695161343,10.072344224900007,0.13420364633202553,,37.32672253251076,4.186625890433788,,106.32736391574144,41.72,,19.08,35.11,3.94,0.15,2.0,2,0.0,0.0,1.0,0.9995893836021423,0.0026128320023417473,0.12240821123123169,0.00030506777693517506,52.079081535339355,64.693359375,0.6603030947099863,0.00029704275038966443,,,,0.016500279307365417,1.75,-1.75,,,,,86.753,92.048,92.107,92.107
3,2026-09-11T19:47:54,0,,0.0,0.0078125,,,-0.006966031854972243,1e-06,0.16950258612632751,0.3553938567638397,-1.824102332648181e-05,5.771448240921018e-05,,,-0.46875,0.8833308765689106,1.0,-1.0,0.006801443640142679,,-1.5,1.75,16,8.0,16,0,8,8,8,0.0,0.5,0.5,0.5,8,0.5,0.4433615799659848,,,,,,1955.0078125,,,7261.0,,,278249.0,654.450016102023,44.36041585728526,10.197442036122084,10.055007595568895,0.12192007899284363,,37.392739068716764,4.1346570029854774,,106.29115790128708,41.73,,19.05,35.18,3.89,0.14,3.0,3,0.0,0.0,1.0,0.999572217464447,0.0029568893369287252,0.20804840326309204,0.00036289560375735164,52.079081535339355,64.693359375,0.6537058973339341,0.00034250850694661494,,,,0.006801443640142679,1.75,-1.5,,,,,86.753,92.048,92.107,92.107
4,2026-09-11T19:47:54,0,,0.0,0.0078125,,,0.02568828361108899,1e-06,0.1634281426668167,0.24460768699645996,2.0949772533640498e-05,9.196723704008036e-05,,,-0.09375,0.9955957701296244,1.0,-1.0,-0.029264770448207855,,-1.75,1.75,16,8.0,16,2,3,11,5,0.125,0.1875,0.6875,0.3125,11,0.6875,0.5653965374566283,,,,,,1666.359375,,,8192.0,,,232022.0,587.3624299536561,46.371352173388004,8.511511024087667,8.359944231808186,0.11382360383868217,,31.39823703095317,3.979503408074379,,98.75589081272483,46.96,,17.08,31.79,4.03,0.14,4.0,4,0.0,0.0,1.0,0.999559223651886,0.002603386528789997,0.1982872486114502,0.00033452242496423423,52.079081535339355,64.693359375,0.6484546612936457,0.00027804591445601545,,,,-0.029264770448207855,1.75,-1.75,,,,,86.753,92.048,92.107,92.107
5,2026-09-11T19:47:54,0,,0.0,0.0078125,,,-0.0050895907916128635,1e-06,0.20192071050405502,0.26476800441741943,-2.149262945749797e-05,0.00018846634702640586,,,-0.015625,0.9998779222360098,1.0,-1.0,0.00565840071067214,,-1.75,1.75,16,8.0,16,1,1,14,2,0.0625,0.0625,0.875,0.125,14,0.875,0.7169650429753602,,,,,,1704.1171875,,,4477.0,,,237239.0,720.7818034631781,30.34441814571619,8.537433039397001,8.371737021952868,0.12124928086996078,,30.967726048082113,3.9183354303240776,,82.28530425578356,36.88,,20.55,37.63,4.76,0.18,5.0,5,0.0,0.0,1.0,0.9995425343513489,0.0026456231717020273,0.12245655059814453,0.00039574955007992685,52.079081535339355,64.693359375,0.6635130649181884,0.00032408329388999846,,,,0.00565840071067214,1.75,-1.75,,,,,86.753,92.048,92.107,92.107
6,2026-09-11T19:47:54,0,,0.0,0.0078125,,,0.08904964686371386,1e-06,0.20302365720272064,0.2818373441696167,-1.451880848435394e-05,0.00015817550320207374,,,-0.3125,0.9499177595981665,1.0,-1.0,-0.1006411537528038,,-1.5,1.75,16,8.0,16,0,4,12,4,0.0,0.25,0.75,0.25,12,0.75,0.6790250926507686,,,,,,1680.3203125,,,8168.0,,,236329.0,590.5493622265774,46.3612158857286,8.777584470808506,8.588870603591204,0.13511982560157776,,32.23388513177633,3.924358122050762,,100.04625147208571,46.34,,17.36,32.22,3.92,0.16,6.0,6,0.0,0.0,1.0,0.9995480179786682,0.002701236866414547,0.20514711737632751,0.00035657623084262013,52.079081535339355,64.693359375,0.6420765092297412,0.00040651044400874525,,,,-0.1006411537528038,1.75,-1.5,,,,,86.753,92.048,92.107,92.107
7,2026-09-11T19:47:54,0,,0.0,0.0078125,,,0.001133446116000414,1e-06,0.17521021887660027,0.26395779848098755,2.2035671804587764e-05,0.0001316406301157258,,,0.078125,0.9969435713093294,1.0,-1.0,-0.0011560277780517936,,-1.75,1.25,16,8.0,16,4,4,8,8,0.25,0.25,0.5,0.5,8,0.5,0.4669320529423296,,,,,,1848.328125,,,7242.0,,,255098.0,621.4815429397653,46.373244162648916,9.241908855736256,9.089987397193909,0.13309169188141823,,33.70860982686281,4.045953959226608,,102.61688496544957,45.19,,17.86,32.85,3.94,0.15,7.0,7,0.0,0.0,1.0,0.9995825886726379,0.0024243169464170933,0.1499394178390503,0.0002679527970030904,52.079081535339355,64.693359375,0.6623131886287801,0.0005009227570553776,,,,-0.0011560277780517936,1.25,-1.75,,,,,86.753,92.048,92.107,92.107
